,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
1,2,0.0017960071563720703,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
2,3,0.003058910369873047,192.168.1.235,192.168.1.80,TCP,54,[SYN]
3,4,0.008646011352539062,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
4,5,0.011502981185913086,192.168.1.235,192.168.1.80,TCP,54,[SYN]
5,6,0.013756036758422852,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
6,7,0.01689910888671875,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
7,8,0.019962072372436523,192.168.1.235,192.168.1.80,TCP,54,[SYN]
8,9,0.02545905113220215,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
9,10,0.028450965881347656,192.168.1.235,192.168.1.80,TCP,54,[SYN]
10,11,0.03406190872192383,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
11,12,0.0368649959564209,192.168.1.235,192.168.1.80,TCP,54,[SYN]
12,13,0.042448997497558594,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
13,14,0.0431818962097168,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
14,15,0.045285940170288086,192.168.1.235,192.168.1.80,TCP,54,[SYN]
15,16,0.04921698570251465,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
16,17,0.05070900917053223,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
17,18,0.05376791954040527,192.168.1.235,192.168.1.80,TCP,54,[SYN]
18,19,0.059355974197387695,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
19,20,0.06109809875488281,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
20,21,0.062211036682128906,192.168.1.235,192.168.1.80,TCP,54,[SYN]
21,22,0.06485509872436523,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
22,23,0.06775498390197754,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
23,24,0.0686190128326416,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
24,25,0.0687110424041748,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
25,26,0.06871700286865234,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
26,27,0.07013607025146484,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
