"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","164","53870  >  443 Len=102"
"2","0.000204","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","165","53870  >  443 Len=103"
"3","0.000381","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","165","53870  >  443 Len=103"
"4","0.000456","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","166","53870  >  443 Len=104"
"5","0.000517","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","165","53870  >  443 Len=103"
"6","0.000578","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","165","53870  >  443 Len=103"
"7","0.112737","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","89","443  >  53870 Len=27"
"8","0.112737","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","89","443  >  53870 Len=27"
"9","0.112737","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","89","443  >  53870 Len=27"
"10","0.112737","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","89","443  >  53870 Len=27"
"11","0.112737","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","89","443  >  53870 Len=27"
"12","0.112737","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","89","443  >  53870 Len=27"
"13","0.113280","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","93","53870  >  443 Len=31"
"14","0.113516","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","93","53870  >  443 Len=31"
"15","0.113642","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","93","53870  >  443 Len=31"
"16","0.160934","192.168.100.201","224.0.0.251","MDNS","103","Standard query 0x001a PTR _CA5E8412._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"17","0.222265","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","202","443  >  53870 Len=140"
"18","0.222265","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","149","443  >  53870 Len=87"
"19","0.222265","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","148","443  >  53870 Len=86"
"20","0.222265","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","149","443  >  53870 Len=87"
"21","0.222265","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","85","443  >  53870 Len=23"
"22","0.222265","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","85","443  >  53870 Len=23"
"23","0.222599","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","84","443  >  53870 Len=22"
"24","0.222599","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","85","443  >  53870 Len=23"
"25","0.222599","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","149","443  >  53870 Len=87"
"26","0.222758","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","97","53870  >  443 Len=35"
"27","0.222978","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","97","53870  >  443 Len=35"
"28","0.223111","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","97","53870  >  443 Len=35"
"29","0.223166","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","156","443  >  53870 Len=94"
"30","0.223252","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","97","53870  >  443 Len=35"
"31","0.223339","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","93","53870  >  443 Len=31"
"32","0.223412","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","93","53870  >  443 Len=31"
"33","0.223491","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","97","53870  >  443 Len=35"
"34","0.223542","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","98","53870  >  443 Len=36"
"35","0.230610","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","166","53870  >  443 Len=104"
"36","0.329196","fe80::6dfc:c1e8:75c2:aac7","fe80::1","DNS","101","Standard query 0x0ff3 A sadownload.mcafee.com"
"37","0.329353","fe80::6dfc:c1e8:75c2:aac7","fe80::1","DNS","101","Standard query 0x62e8 AAAA sadownload.mcafee.com"
"38","0.333180","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","85","443  >  53870 Len=23"
"39","0.333180","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","85","443  >  53870 Len=23"
"40","0.333180","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","85","443  >  53870 Len=23"
"41","0.344031","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","89","443  >  53870 Len=27"
"42","0.344031","fe80::1","fe80::6dfc:c1e8:75c2:aac7","DNS","267","Standard query response 0x0ff3 A sadownload.mcafee.com CNAME sadownload-r53.awsconsumer.mcafee.com CNAME sadownload.mcafee.com.edgesuite.net CNAME a866.dscd.akamai.net A 202.163.98.43 A 202.163.98.42"
"43","0.350219","fe80::1","fe80::6dfc:c1e8:75c2:aac7","DNS","263","Standard query response 0x62e8 AAAA sadownload.mcafee.com CNAME sadownload-r53.awsconsumer.mcafee.com CNAME sadownload.mcafee.com.edgesuite.net CNAME a866.dscd.akamai.net AAAA 2001:1670:0:105::52b2:9e51"
"44","0.354371","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","53688  >  443 [SYN] Seq=0 Win=64952 Len=0 MSS=1412 WS=256 SACK_PERM"
"45","0.369619","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","95","53870  >  443 Len=33"
"46","0.432362","192.168.100.209","4.2.2.2","ICMP","74","Echo (ping) request  id=0x0001, seq=258/513, ttl=128 (reply in 54)"
"47","0.448996","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","149","443  >  53870 Len=87"
