frame.time_epoch,ip.src,frame.len,_ws.col.Protocol,_ws.col.Info
"1710594040.590841000","127.0.0.1","68","TCP","51658 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1066771450 TSecr=0 SACK_PERM"
"1710594040.590977000","127.0.0.1","68","TCP","49403 → 51658 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3895017989 TSecr=1066771450 SACK_PERM"
"1710594051.690420000","127.0.0.1","68","TCP","51661 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1157777341 TSecr=0 SACK_PERM"
"1710594051.690559000","127.0.0.1","68","TCP","49403 → 51661 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1509732603 TSecr=1157777341 SACK_PERM"
"1710594052.088915000","127.0.0.1","68","TCP","51662 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1414829684 TSecr=0 SACK_PERM"
"1710594052.089049000","127.0.0.1","68","TCP","49403 → 51662 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=4281369077 TSecr=1414829684 SACK_PERM"
"1710594062.670240000","127.0.0.1","68","TCP","51666 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=2405921353 TSecr=0 SACK_PERM"
"1710594062.670344000","127.0.0.1","68","TCP","49403 → 51666 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1908035953 TSecr=2405921353 SACK_PERM"
"1710594106.376300000","127.0.0.1","68","TCP","51669 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1961080438 TSecr=0 SACK_PERM"
"1710594106.376429000","127.0.0.1","68","TCP","49403 → 51669 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=868508824 TSecr=1961080438 SACK_PERM"
"1710594106.380068000","127.0.0.1","138","UDP","51829 → 32376 Len=106"
"1710594106.380108000","127.0.0.1","60","ICMP","Destination unreachable (Port unreachable)"
"1710594106.522736000","127.0.0.1","131","UDP","51829 → 32376 Len=99"
"1710594106.522768000","127.0.0.1","60","ICMP","Destination unreachable (Port unreachable)"
"1710594131.881682000","192.168.1.80","100","MDNS","Standard query 0x0000 TXT 金如一的MacBook Pro._companion-link._tcp.local, "QU" question"
"1710594131.883044000",,"120","MDNS","Standard query 0x0000 TXT 金如一的MacBook Pro._companion-link._tcp.local, "QU" question"
"1710594133.076456000","127.0.0.1","131","UDP","51829 → 32376 Len=99"
"1710594133.076486000","127.0.0.1","60","ICMP","Destination unreachable (Port unreachable)"
"1710594133.076543000","127.0.0.1","138","UDP","51829 → 32376 Len=106"
"1710594133.076563000","127.0.0.1","60","ICMP","Destination unreachable (Port unreachable)"
"1710594137.250021000","127.0.0.1","131","UDP","51829 → 32376 Len=99"
"1710594137.250053000","127.0.0.1","60","ICMP","Destination unreachable (Port unreachable)"
"1710594137.250071000","127.0.0.1","138","UDP","51829 → 32376 Len=106"
"1710594137.250087000","127.0.0.1","60","ICMP","Destination unreachable (Port unreachable)"
"1710594139.260007000","127.0.0.1","68","TCP","51685 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1489835356 TSecr=0 SACK_PERM"
"1710594139.260246000","127.0.0.1","68","TCP","49403 → 51685 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3631550221 TSecr=1489835356 SACK_PERM"
"1710594141.417458000","127.0.0.1","68","TCP","51686 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1691729296 TSecr=0 SACK_PERM"
"1710594141.417575000","127.0.0.1","68","TCP","49403 → 51686 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=2567331172 TSecr=1691729296 SACK_PERM"
"1710594161.250293000","127.0.0.1","68","TCP","51689 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3923820598 TSecr=0 SACK_PERM"
"1710594161.250532000","127.0.0.1","68","TCP","49403 → 51689 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1582806890 TSecr=3923820598 SACK_PERM"
"1710594163.448560000","127.0.0.1","68","TCP","51690 → 5037 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1199684562 TSecr=0 SACK_PERM"
"1710594163.907734000","127.0.0.1","68","TCP","51691 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=2350205720 TSecr=0 SACK_PERM"
"1710594163.907957000","127.0.0.1","68","TCP","49403 → 51691 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3918020124 TSecr=2350205720 SACK_PERM"
"1710594166.589338000","127.0.0.1","68","TCP","51693 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1540328741 TSecr=0 SACK_PERM"
"1710594166.589524000","127.0.0.1","68","TCP","49403 → 51693 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3956504666 TSecr=1540328741 SACK_PERM"
"1710594169.319585000","127.0.0.1","68","TCP","51694 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=136796495 TSecr=0 SACK_PERM"
"1710594169.319795000","127.0.0.1","68","TCP","49403 → 51694 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=477397935 TSecr=136796495 SACK_PERM"
"1710594172.091034000","127.0.0.1","68","TCP","51695 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3312766948 TSecr=0 SACK_PERM"
"1710594172.091236000","127.0.0.1","68","TCP","49403 → 51695 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3907126342 TSecr=3312766948 SACK_PERM"
"1710594174.610911000","127.0.0.1","68","TCP","51699 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=415024846 TSecr=0 SACK_PERM"
"1710594174.611077000","127.0.0.1","68","TCP","49403 → 51699 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=295524704 TSecr=415024846 SACK_PERM"
"1710594180.296203000","127.0.0.1","68","TCP","51701 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3231718506 TSecr=0 SACK_PERM"
"1710594180.296384000","127.0.0.1","68","TCP","49403 → 51701 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1772506917 TSecr=3231718506 SACK_PERM"
"1710594182.317091000","127.0.0.1","68","TCP","51702 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=214571177 TSecr=0 SACK_PERM"
"1710594182.317219000","127.0.0.1","68","TCP","49403 → 51702 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1309821498 TSecr=214571177 SACK_PERM"
"1710594183.071321000","127.0.0.1","68","TCP","51703 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=157064491 TSecr=0 SACK_PERM"
"1710594183.071463000","127.0.0.1","68","TCP","49403 → 51703 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=283800289 TSecr=157064491 SACK_PERM"
"1710594183.434527000","127.0.0.1","68","TCP","51704 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=262546215 TSecr=0 SACK_PERM"
"1710594183.434698000","127.0.0.1","68","TCP","49403 → 51704 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1737211642 TSecr=262546215 SACK_PERM"
"1710594186.629046000","127.0.0.1","68","TCP","51706 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1893787440 TSecr=0 SACK_PERM"
"1710594186.629219000","127.0.0.1","68","TCP","49403 → 51706 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=2149276264 TSecr=1893787440 SACK_PERM"
"1710594189.929756000","127.0.0.1","68","TCP","51708 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=672807038 TSecr=0 SACK_PERM"
"1710594189.929977000","127.0.0.1","68","TCP","49403 → 51708 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=4114180064 TSecr=672807038 SACK_PERM"
"1710594191.773165000","127.0.0.1","68","TCP","51709 → 49403 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=2137530173 TSecr=0 SACK_PERM"
"1710594191.773267000","127.0.0.1","68","TCP","49403 → 51709 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=4128873454 TSecr=2137530173 SACK_PERM"
