department_id,department_name,manager_id,location_id
10,Adm,200,1700
20,Mar,201,1800
30,Pur,114,1700
40,Hum,203,2400
50,Shi,121,1500
60,IT,103,1400
70,Pub,204,2700
80,Sal,145,2500
90,Exe,100,1700
100,Fin,108,1700
110,Acc,205,1700
120,Tre,NULL,1700
130,Cor,NULL,1700
140,Con,NULL,1700
150,Sha,NULL,1700
160,Ben,NULL,1700
170,Man,NULL,1700
180,Con,NULL,1700
190,Con,NULL,1700
200,Ope,NULL,1700
210,"IT ",NULL,1700
220,NOC,NULL,1700
230,"IT ",NULL,1700
240,Gov,NULL,1700
250,Ret,NULL,1700
260,Rec,NULL,1700
270,Pay,NULL,1700
